date,apprehended_placed_cbp,cbp_custody,transferred_out_cbp,hhs_care,discharged_hhs,flag_negative_count,flag_transfers_gt_cbp_custody,flag_discharges_gt_hhs_care,flag_zero_transfer_ratio,is_observed,flag_missing_date,cbp_custody_observed,hhs_care_observed,apprehended_placed_cbp_observed,transferred_out_cbp_observed,discharged_hhs_observed,flag_stock_interpolated,total_system_load,net_daily_intake,care_load_growth_rate,discharge_offset_ratio,total_system_load_7d_avg,hhs_care_7d_avg,net_daily_intake_7d_avg,total_system_load_14d_avg,hhs_care_14d_avg,net_daily_intake_14d_avg,care_load_volatility_index,net_intake_volatility_index,cumulative_apprehended_placed_cbp,cumulative_transferred_out_cbp,cumulative_discharged_hhs,cumulative_net_intake,positive_net_intake_run_days,negative_net_intake_run_days,backlog_indicator,relief_period_flag,high_load_flag,severe_load_flag,volatility_spike_flag,net_intake_spike_flag,net_intake_relief_spike_flag,strain_period_flag,system_state
2023-01-12,33.0,53.0,34.0,6566.0,436.0,False,False,False,False,True,False,53.0,6566.0,33.0,34.0,436.0,False,6619.0,-402.0,,12.823529411764707,6619.0,6566.0,-402.0,6619.0,6566.0,-402.0,0.0,0.0,33.0,34.0,436.0,-402.0,0,1,False,False,False,False,False,False,True,False,Normal
2023-01-13,,52.6,,6621.6,,False,False,False,False,False,True,,,,,,True,6674.200000000001,,0.008339628342650007,,6646.6,6593.8,-402.0,6646.6,6593.8,-402.0,0.0,0.0,33.0,34.0,436.0,-402.0,0,0,False,False,False,False,False,False,False,False,Missing Report
2023-01-14,,52.2,,6677.2,,False,False,False,False,False,True,,,,,,True,6729.4,,0.008270654160798196,,6674.2,6621.599999999999,-402.0,6674.2,6621.599999999999,-402.0,55.19999999999993,0.0,33.0,34.0,436.0,-402.0,0,0,False,False,False,False,False,False,False,False,Missing Report
2023-01-15,,51.8,,6732.8,,False,False,False,False,False,True,,,,,,True,6784.6,,0.008202811543376987,,6701.8,6649.4,-402.0,6701.8,6649.4,-402.0,71.26289357021659,0.0,33.0,34.0,436.0,-402.0,0,0,False,False,False,False,False,False,False,False,Missing Report
2023-01-16,,51.4,,6788.4,,False,False,False,False,False,True,,,,,,True,6839.799999999999,,0.008136072870913447,,6729.4,6677.2,-402.0,6729.4,6677.2,-402.0,87.27886342064713,0.0,33.0,34.0,436.0,-402.0,0,0,False,False,False,False,False,False,False,False,Missing Report
2023-01-17,,51.0,,6844.0,,False,False,False,False,False,True,,,,,,True,6895.0,,0.008070411415538548,,6757.0,6705.0,-402.0,6757.0,6705.0,-402.0,103.26974387496074,0.0,33.0,34.0,436.0,-402.0,0,0,False,False,False,False,False,False,False,False,Missing Report
2023-01-18,,50.6,,6899.6,,False,False,False,False,False,True,,,,,,True,6950.200000000001,,0.008005801305293714,,6784.599999999999,6732.8,-402.0,6784.599999999999,6732.8,-402.0,119.24562885070473,0.0,33.0,34.0,436.0,-402.0,0,0,False,False,False,False,False,False,False,False,Missing Report
2023-01-19,,50.2,,6955.2,,False,False,False,False,False,True,,,,,,True,7005.4,,0.00794221749014401,,6839.8,6788.400000000001,,6812.2,6760.6,-402.0,135.21183380163131,0.0,33.0,34.0,436.0,-402.0,0,0,False,False,False,False,False,False,False,False,Missing Report
2023-01-20,,49.8,,7010.8,,False,False,False,False,False,True,,,,,,True,7060.6,,0.0078796357095956,,6895.0,6844.0,,6839.799999999999,6788.4,-402.0,151.17142587142564,0.0,33.0,34.0,436.0,-402.0,0,0,False,False,False,False,False,False,False,False,Missing Report
2023-01-21,,49.4,,7066.4,,False,False,False,False,False,True,,,,,,True,7115.799999999999,,0.007818032461830215,,6950.2,6899.599999999999,,6867.4,6816.2,-402.0,167.12629954618112,0.0,33.0,34.0,436.0,-402.0,0,0,False,False,False,False,False,False,False,False,Missing Report
