date,total_system_load,hhs_care,cbp_custody,net_daily_intake,transferred_out_cbp,discharged_hhs,observed_days
2023-01-15,6701.8,6649.4,52.4,-402.0,34.0,436.0,1
2023-01-22,7005.400000000001,6955.2,50.199999999999996,-188.0,39.0,227.0,1
2023-01-29,7499.642857142857,7462.571428571428,37.07142857142857,-701.0,138.0,839.0,4
2023-02-05,7794.714285714285,7768.428571428572,26.285714285714285,-1095.0,130.0,1225.0,5
2023-02-12,7898.0,7739.142857142857,158.85714285714286,-848.0,535.0,1383.0,5
2023-02-19,7999.571428571428,7764.857142857143,234.71428571428572,-401.0,717.0,1118.0,4
2023-02-26,8046.571428571428,7829.714285714285,216.85714285714286,-378.0,985.0,1363.0,5
2023-03-05,8085.457142857143,7870.400000000001,215.05714285714288,-370.0,720.0,1090.0,4
2023-03-12,8016.685714285714,7774.385714285714,242.29999999999998,-421.0,469.0,890.0,3
2023-03-19,8130.571428571428,7862.857142857143,267.7142857142857,-365.0,965.0,1330.0,5
2023-03-26,8268.857142857143,7996.571428571428,272.2857142857143,-498.0,931.0,1429.0,5
2023-04-02,8308.57142857143,8079.857142857143,228.71428571428572,-547.0,841.0,1388.0,5
2023-04-09,8275.714285714286,8064.714285714285,211.0,-575.0,841.0,1416.0,5
2023-04-16,7941.714285714285,7710.571428571428,231.14285714285714,-516.0,861.0,1377.0,5
2023-04-23,7747.428571428572,7446.285714285715,301.14285714285717,-239.0,1058.0,1297.0,5
2023-04-30,8401.285714285714,8136.0,265.2857142857143,-259.0,1015.0,1274.0,5
2023-05-07,8939.142857142857,8628.57142857143,310.57142857142856,-354.0,1102.0,1456.0,5
2023-05-14,8903.857142857143,8587.285714285714,316.57142857142856,-409.0,1086.0,1495.0,5
2023-05-21,8522.285714285714,8330.285714285714,192.0,-684.0,866.0,1550.0,5
2023-05-28,7609.785714285715,7529.142857142857,80.64285714285714,-820.0,350.0,1170.0,4
2023-06-04,6971.714285714285,6887.0,84.71428571428571,-798.0,366.0,1164.0,5
2023-06-11,6501.285714285715,6345.714285714285,155.57142857142858,-476.0,601.0,1077.0,5
2023-06-18,6043.357142857143,5965.785714285715,77.57142857142857,-360.0,402.0,762.0,4
2023-06-25,6017.571428571428,5849.857142857143,167.71428571428572,-347.0,548.0,895.0,5
2023-07-02,6190.857142857143,5951.0,239.85714285714286,-124.0,901.0,1025.0,5
2023-07-09,6396.214285714285,6177.285714285715,218.92857142857142,109.0,801.0,692.0,4
2023-07-16,6714.857142857143,6501.285714285715,213.57142857142858,-80.0,880.0,960.0,5
2023-07-23,7222.571428571428,6977.571428571428,245.0,-182.0,942.0,1124.0,5
2023-07-30,7887.428571428572,7603.857142857143,283.57142857142856,-190.0,912.0,1102.0,5
2023-08-06,8421.285714285714,8192.57142857143,228.71428571428572,-496.0,824.0,1320.0,5
2023-08-13,9151.285714285714,8926.0,225.28571428571428,-338.0,675.0,1013.0,4
2023-08-20,9783.42857142857,9556.57142857143,226.85714285714286,-551.0,534.0,1085.0,3
2023-08-27,10153.714285714286,9922.57142857143,231.14285714285714,-866.0,861.0,1727.0,5
2023-09-03,10414.142857142857,10114.857142857143,299.2857142857143,-674.0,871.0,1545.0,4
2023-09-10,10544.285714285714,10269.714285714286,274.57142857142856,-588.0,1019.0,1607.0,5
2023-09-17,11026.714285714286,10727.285714285714,299.42857142857144,-711.0,1066.0,1777.0,5
2023-09-24,11285.857142857143,10953.285714285714,332.57142857142856,-699.0,1069.0,1768.0,5
2023-10-01,11060.285714285714,10857.285714285714,203.0,-918.0,969.0,1887.0,5
2023-10-08,11032.714285714286,10936.07142857143,96.64285714285714,-909.0,419.0,1328.0,4
2023-10-15,10907.285714285714,10830.142857142857,77.14285714285714,-1287.0,350.0,1637.0,5
2023-10-22,10352.857142857143,10202.857142857143,150.0,-1386.0,513.0,1899.0,5
2023-10-29,9311.57142857143,9214.714285714286,96.85714285714286,-1158.0,570.0,1728.0,5
2023-11-05,9427.57142857143,9254.0,173.57142857142858,-887.0,665.0,1552.0,5
2023-11-12,9710.92857142857,9506.642857142857,204.28571428571428,-399.0,771.0,1170.0,4
2023-11-19,9835.142857142857,9658.142857142857,177.0,-858.0,801.0,1659.0,5
2023-11-26,10020.714285714286,9804.142857142857,216.57142857142858,-480.0,663.0,1143.0,4
2023-12-03,10569.142857142857,10424.857142857143,144.28571428571428,-918.0,540.0,1458.0,5
2023-12-10,11050.142857142857,10823.42857142857,226.71428571428572,-826.0,961.0,1787.0,5
2023-12-17,11302.142857142857,11133.57142857143,168.57142857142858,-880.0,870.0,1750.0,5
2023-12-24,11513.214285714286,11301.357142857143,211.85714285714286,-901.0,622.0,1523.0,4
2023-12-31,11254.5,11135.285714285714,119.21428571428571,-872.0,455.0,1327.0,4
2024-01-07,10548.0,10402.0,146.0,-963.0,635.0,1598.0,5
2024-01-14,8955.714285714286,8892.42857142857,63.285714285714285,-1201.0,277.0,1478.0,4
2024-01-21,8184.857142857143,8038.571428571428,146.28571428571428,-985.0,520.0,1505.0,5
2024-01-28,8326.142857142857,8103.0,223.14285714285714,-481.0,786.0,1267.0,5
2024-02-04,8428.142857142857,8010.0,418.14285714285717,-158.0,1169.0,1327.0,5
