date,target,model,forecast
2025-12-22,Total System Load,Moving Average,2499.214285714286
2025-12-23,Total System Load,Moving Average,2499.214285714286
2025-12-24,Total System Load,Moving Average,2499.214285714286
2025-12-25,Total System Load,Moving Average,2499.214285714286
2025-12-26,Total System Load,Moving Average,2499.214285714286
2025-12-27,Total System Load,Moving Average,2499.214285714286
2025-12-28,Total System Load,Moving Average,2499.214285714286
2025-12-29,Total System Load,Moving Average,2499.214285714286
2025-12-30,Total System Load,Moving Average,2499.214285714286
2025-12-31,Total System Load,Moving Average,2499.214285714286
2026-01-01,Total System Load,Moving Average,2499.214285714286
2026-01-02,Total System Load,Moving Average,2499.214285714286
2026-01-03,Total System Load,Moving Average,2499.214285714286
2026-01-04,Total System Load,Moving Average,2499.214285714286
2026-01-05,Total System Load,Moving Average,2499.214285714286
2026-01-06,Total System Load,Moving Average,2499.214285714286
2026-01-07,Total System Load,Moving Average,2499.214285714286
2026-01-08,Total System Load,Moving Average,2499.214285714286
2026-01-09,Total System Load,Moving Average,2499.214285714286
2026-01-10,Total System Load,Moving Average,2499.214285714286
2026-01-11,Total System Load,Moving Average,2499.214285714286
2026-01-12,Total System Load,Moving Average,2499.214285714286
2026-01-13,Total System Load,Moving Average,2499.214285714286
2026-01-14,Total System Load,Moving Average,2499.214285714286
2026-01-15,Total System Load,Moving Average,2499.214285714286
2026-01-16,Total System Load,Moving Average,2499.214285714286
2026-01-17,Total System Load,Moving Average,2499.214285714286
2026-01-18,Total System Load,Moving Average,2499.214285714286
2026-01-19,Total System Load,Moving Average,2499.214285714286
2026-01-20,Total System Load,Moving Average,2499.214285714286
2025-12-22,Total System Load,Random Forest,2502.8049363368395
2025-12-23,Total System Load,Random Forest,2502.3743963368393
2025-12-24,Total System Load,Random Forest,2501.6654668611295
2025-12-25,Total System Load,Random Forest,2500.9073473448793
2025-12-26,Total System Load,Random Forest,2499.5697251755673
2025-12-27,Total System Load,Random Forest,2498.0665159692176
2025-12-28,Total System Load,Random Forest,2497.659437450699
2025-12-29,Total System Load,Random Forest,2499.7366255431884
2025-12-30,Total System Load,Random Forest,2500.096874432077
2025-12-31,Total System Load,Random Forest,2500.7377316230345
2026-01-01,Total System Load,Random Forest,2537.915023746996
2026-01-02,Total System Load,Random Forest,2576.963953540322
2026-01-03,Total System Load,Random Forest,2584.2232661464986
2026-01-04,Total System Load,Random Forest,2584.6372731759775
2026-01-05,Total System Load,Random Forest,2583.510552923796
2026-01-06,Total System Load,Random Forest,2583.510552923796
2026-01-07,Total System Load,Random Forest,2583.1652694770837
2026-01-08,Total System Load,Random Forest,2580.72277128626
2026-01-09,Total System Load,Random Forest,2578.662238596853
2026-01-10,Total System Load,Random Forest,2579.4500414828553
2026-01-11,Total System Load,Random Forest,2579.9139494193632
2026-01-12,Total System Load,Random Forest,2579.325849439977
2026-01-13,Total System Load,Random Forest,2578.8856509138996
2026-01-14,Total System Load,Random Forest,2578.751088215488
2026-01-15,Total System Load,Random Forest,2579.152593286606
2026-01-16,Total System Load,Random Forest,2579.163337236308
2026-01-17,Total System Load,Random Forest,2579.918111550882
2026-01-18,Total System Load,Random Forest,2580.569921074691
2026-01-19,Total System Load,Random Forest,2580.3068299079214
2026-01-20,Total System Load,Random Forest,2580.3068299079214
2025-12-22,Total System Load,Exponential Smoothing,2501.5477757828226
2025-12-23,Total System Load,Exponential Smoothing,2501.095551451322
2025-12-24,Total System Load,Exponential Smoothing,2500.643327119821
2025-12-25,Total System Load,Exponential Smoothing,2500.1911027883207
2025-12-26,Total System Load,Exponential Smoothing,2499.73887845682
2025-12-27,Total System Load,Exponential Smoothing,2499.2866541253197
2025-12-28,Total System Load,Exponential Smoothing,2498.834429793819
2025-12-29,Total System Load,Exponential Smoothing,2498.3822054623183
2025-12-30,Total System Load,Exponential Smoothing,2497.929981130818
2025-12-31,Total System Load,Exponential Smoothing,2497.4777567993174
2026-01-01,Total System Load,Exponential Smoothing,2497.025532467817
2026-01-02,Total System Load,Exponential Smoothing,2496.573308136316
2026-01-03,Total System Load,Exponential Smoothing,2496.1210838048155
2026-01-04,Total System Load,Exponential Smoothing,2495.668859473315
2026-01-05,Total System Load,Exponential Smoothing,2495.2166351418145
2026-01-06,Total System Load,Exponential Smoothing,2494.764410810314
2026-01-07,Total System Load,Exponential Smoothing,2494.312186478813
2026-01-08,Total System Load,Exponential Smoothing,2493.8599621473127
2026-01-09,Total System Load,Exponential Smoothing,2493.407737815812
2026-01-10,Total System Load,Exponential Smoothing,2492.9555134843117
2026-01-11,Total System Load,Exponential Smoothing,2492.503289152811
2026-01-12,Total System Load,Exponential Smoothing,2492.0510648213103
2026-01-13,Total System Load,Exponential Smoothing,2491.59884048981
2026-01-14,Total System Load,Exponential Smoothing,2491.1466161583094
2026-01-15,Total System Load,Exponential Smoothing,2490.694391826809
2026-01-16,Total System Load,Exponential Smoothing,2490.242167495308
2026-01-17,Total System Load,Exponential Smoothing,2489.7899431638075
2026-01-18,Total System Load,Exponential Smoothing,2489.337718832307
2026-01-19,Total System Load,Exponential Smoothing,2488.8854945008065
2026-01-20,Total System Load,Exponential Smoothing,2488.4332701693056
2025-12-22,Total System Load,SARIMA,2502.5447307318523
2025-12-23,Total System Load,SARIMA,2504.6990818531362
2025-12-24,Total System Load,SARIMA,2503.0577104938807
2025-12-25,Total System Load,SARIMA,2500.5084591946143
2025-12-26,Total System Load,SARIMA,2498.0290248123592
2025-12-27,Total System Load,SARIMA,2495.813308628083
2025-12-28,Total System Load,SARIMA,2493.791625508435
2025-12-29,Total System Load,SARIMA,2495.6540709363553
2025-12-30,Total System Load,SARIMA,2499.0183206596985
2025-12-31,Total System Load,SARIMA,2498.487853376744
2026-01-01,Total System Load,SARIMA,2496.958611411022
2026-01-02,Total System Load,SARIMA,2495.415728674146
2026-01-03,Total System Load,SARIMA,2494.0599349980434
2026-01-04,Total System Load,SARIMA,2492.8278150847727
2026-01-05,Total System Load,SARIMA,2495.4152212515264
2026-01-06,Total System Load,SARIMA,2499.4451150532723
2026-01-07,Total System Load,SARIMA,2499.5258285079476
2026-01-08,Total System Load,SARIMA,2498.5577601576297
2026-01-09,Total System Load,SARIMA,2497.5301355223864
2026-01-10,Total System Load,SARIMA,2496.6474412650928
2026-01-11,Total System Load,SARIMA,2495.849711532913
2026-01-12,Total System Load,SARIMA,2498.8359658527743
2026-01-13,Total System Load,SARIMA,2503.2320738466506
2026-01-14,Total System Load,SARIMA,2503.6490376599468
2026-01-15,Total System Load,SARIMA,2502.9897074910054
2026-01-16,Total System Load,SARIMA,2502.2455599203836
2026-01-17,Total System Load,SARIMA,2501.623148488518
2026-01-18,Total System Load,SARIMA,2501.064405107151
2026-01-19,Total System Load,SARIMA,2504.270091791713
2026-01-20,Total System Load,SARIMA,2508.867678081377
2025-12-22,Total System Load,Prophet,3185.6160051199586
2025-12-23,Total System Load,Prophet,3235.7812507975195
2025-12-24,Total System Load,Prophet,3244.3818030986968
2025-12-25,Total System Load,Prophet,3192.4133469335093
2025-12-26,Total System Load,Prophet,3101.5904846317917
2025-12-27,Total System Load,Prophet,3000.45621624417
2025-12-28,Total System Load,Prophet,2888.6751611136224
2025-12-29,Total System Load,Prophet,2840.85339660912
2025-12-30,Total System Load,Prophet,2817.320568375491
2025-12-31,Total System Load,Prophet,2754.2428906999558
2026-01-01,Total System Load,Prophet,2633.6917726167103
2026-01-02,Total System Load,Prophet,2478.4168938543
2026-01-03,Total System Load,Prophet,2317.9345121585047
2026-01-04,Total System Load,Prophet,2152.800735336921
2026-01-05,Total System Load,Prophet,2058.413097399228
2026-01-06,Total System Load,Prophet,1995.7765169692852
2026-01-07,Total System Load,Prophet,1901.6026302730156
2026-01-08,Total System Load,Prophet,1758.3675486909715
2026-01-09,Total System Load,Prophet,1589.0771123377376
2026-01-10,Total System Load,Prophet,1423.3505955376838
2026-01-11,Total System Load,Prophet,1261.6926947517406
2026-01-12,Total System Load,Prophet,1179.297156207027
2026-01-13,Total System Load,Prophet,1136.8180598030253
2026-01-14,Total System Load,Prophet,1070.4776123291244
2026-01-15,Total System Load,Prophet,962.1352868433045
2026-01-16,Total System Load,Prophet,834.0670982711483
2026-01-17,Total System Load,Prophet,715.0656287565074
2026-01-18,Total System Load,Prophet,604.7302388264488
2026-01-19,Total System Load,Prophet,577.2903850632155
2026-01-20,Total System Load,Prophet,592.3975932490055
2025-12-22,Total System Load,XGBoost,2496.109375
2025-12-23,Total System Load,XGBoost,2505.51611328125
2025-12-24,Total System Load,XGBoost,2500.253173828125
2025-12-25,Total System Load,XGBoost,2501.6767578125
2025-12-26,Total System Load,XGBoost,2500.77783203125
2025-12-27,Total System Load,XGBoost,2498.025146484375
2025-12-28,Total System Load,XGBoost,2497.21484375
2025-12-29,Total System Load,XGBoost,2496.109375
2025-12-30,Total System Load,XGBoost,2505.51611328125
2025-12-31,Total System Load,XGBoost,2500.253173828125
2026-01-01,Total System Load,XGBoost,2498.32177734375
2026-01-02,Total System Load,XGBoost,2498.27294921875
2026-01-03,Total System Load,XGBoost,2496.33447265625
2026-01-04,Total System Load,XGBoost,2496.374267578125
2026-01-05,Total System Load,XGBoost,2494.259033203125
2026-01-06,Total System Load,XGBoost,2501.6044921875
2026-01-07,Total System Load,XGBoost,2497.677978515625
2026-01-08,Total System Load,XGBoost,2498.32177734375
2026-01-09,Total System Load,XGBoost,2498.27294921875
2026-01-10,Total System Load,XGBoost,2496.33447265625
2026-01-11,Total System Load,XGBoost,2496.374267578125
2026-01-12,Total System Load,XGBoost,2494.259033203125
2026-01-13,Total System Load,XGBoost,2501.6044921875
2026-01-14,Total System Load,XGBoost,2497.677978515625
2026-01-15,Total System Load,XGBoost,2498.32177734375
2026-01-16,Total System Load,XGBoost,2498.27294921875
2026-01-17,Total System Load,XGBoost,2496.33447265625
2026-01-18,Total System Load,XGBoost,2496.374267578125
2026-01-19,Total System Load,XGBoost,2494.259033203125
2026-01-20,Total System Load,XGBoost,2501.6044921875
2025-12-22,HHS Care Load,Moving Average,2460.785714285714
2025-12-23,HHS Care Load,Moving Average,2460.785714285714
2025-12-24,HHS Care Load,Moving Average,2460.785714285714
2025-12-25,HHS Care Load,Moving Average,2460.785714285714
2025-12-26,HHS Care Load,Moving Average,2460.785714285714
2025-12-27,HHS Care Load,Moving Average,2460.785714285714
2025-12-28,HHS Care Load,Moving Average,2460.785714285714
2025-12-29,HHS Care Load,Moving Average,2460.785714285714
2025-12-30,HHS Care Load,Moving Average,2460.785714285714
2025-12-31,HHS Care Load,Moving Average,2460.785714285714
2026-01-01,HHS Care Load,Moving Average,2460.785714285714
2026-01-02,HHS Care Load,Moving Average,2460.785714285714
2026-01-03,HHS Care Load,Moving Average,2460.785714285714
2026-01-04,HHS Care Load,Moving Average,2460.785714285714
2026-01-05,HHS Care Load,Moving Average,2460.785714285714
2026-01-06,HHS Care Load,Moving Average,2460.785714285714
2026-01-07,HHS Care Load,Moving Average,2460.785714285714
2026-01-08,HHS Care Load,Moving Average,2460.785714285714
2026-01-09,HHS Care Load,Moving Average,2460.785714285714
2026-01-10,HHS Care Load,Moving Average,2460.785714285714
2026-01-11,HHS Care Load,Moving Average,2460.785714285714
2026-01-12,HHS Care Load,Moving Average,2460.785714285714
2026-01-13,HHS Care Load,Moving Average,2460.785714285714
2026-01-14,HHS Care Load,Moving Average,2460.785714285714
2026-01-15,HHS Care Load,Moving Average,2460.785714285714
2026-01-16,HHS Care Load,Moving Average,2460.785714285714
2026-01-17,HHS Care Load,Moving Average,2460.785714285714
2026-01-18,HHS Care Load,Moving Average,2460.785714285714
2026-01-19,HHS Care Load,Moving Average,2460.785714285714
2026-01-20,HHS Care Load,Moving Average,2460.785714285714
2025-12-22,HHS Care Load,Random Forest,2476.902677941319
2025-12-23,HHS Care Load,Random Forest,2475.214192227034
2025-12-24,HHS Care Load,Random Forest,2474.7592706397327
2025-12-25,HHS Care Load,Random Forest,2474.985325589227
2025-12-26,HHS Care Load,Random Forest,2477.0775918229942
2025-12-27,HHS Care Load,Random Forest,2478.3484930639756
2025-12-28,HHS Care Load,Random Forest,2477.825823222706
2025-12-29,HHS Care Load,Random Forest,2474.837494449256
2025-12-30,HHS Care Load,Random Forest,2474.53925857624
2025-12-31,HHS Care Load,Random Forest,2473.847801779704
2026-01-01,HHS Care Load,Random Forest,2505.7733195574824
2026-01-02,HHS Care Load,Random Forest,2539.0441851357655
2026-01-03,HHS Care Load,Random Forest,2555.937088337455
2026-01-04,HHS Care Load,Random Forest,2558.1828757524213
2026-01-05,HHS Care Load,Random Forest,2558.267772577818
2026-01-06,HHS Care Load,Random Forest,2558.2482079519677
2026-01-07,HHS Care Load,Random Forest,2557.995048541537
2026-01-08,HHS Care Load,Random Forest,2557.7315997887026
2026-01-09,HHS Care Load,Random Forest,2557.025880823541
2026-01-10,HHS Care Load,Random Forest,2557.1628010049462
2026-01-11,HHS Care Load,Random Forest,2556.995721639867
2026-01-12,HHS Care Load,Random Forest,2556.551654746443
2026-01-13,HHS Care Load,Random Forest,2556.532090120593
2026-01-14,HHS Care Load,Random Forest,2555.090924360956
2026-01-15,HHS Care Load,Random Forest,2553.949159054833
2026-01-16,HHS Care Load,Random Forest,2554.3477778756946
2026-01-17,HHS Care Load,Random Forest,2554.4097429550593
2026-01-18,HHS Care Load,Random Forest,2554.3438381931546
2026-01-19,HHS Care Load,Random Forest,2554.696790347349
2026-01-20,HHS Care Load,Random Forest,2554.696790347349
2025-12-22,HHS Care Load,Exponential Smoothing,2487.9644103750675
2025-12-23,HHS Care Load,Exponential Smoothing,2491.9288207536024
2025-12-24,HHS Care Load,Exponential Smoothing,2495.8932311321378
2025-12-25,HHS Care Load,Exponential Smoothing,2499.857641510673
2025-12-26,HHS Care Load,Exponential Smoothing,2503.822051889208
2025-12-27,HHS Care Load,Exponential Smoothing,2507.7864622677434
2025-12-28,HHS Care Load,Exponential Smoothing,2511.750872646279
2025-12-29,HHS Care Load,Exponential Smoothing,2515.715283024814
2025-12-30,HHS Care Load,Exponential Smoothing,2519.679693403349
2025-12-31,HHS Care Load,Exponential Smoothing,2523.6441037818845
2026-01-01,HHS Care Load,Exponential Smoothing,2527.60851416042
2026-01-02,HHS Care Load,Exponential Smoothing,2531.572924538955
2026-01-03,HHS Care Load,Exponential Smoothing,2535.53733491749
2026-01-04,HHS Care Load,Exponential Smoothing,2539.5017452960255
2026-01-05,HHS Care Load,Exponential Smoothing,2543.4661556745605
2026-01-06,HHS Care Load,Exponential Smoothing,2547.430566053096
2026-01-07,HHS Care Load,Exponential Smoothing,2551.394976431631
2026-01-08,HHS Care Load,Exponential Smoothing,2555.359386810166
2026-01-09,HHS Care Load,Exponential Smoothing,2559.3237971887015
2026-01-10,HHS Care Load,Exponential Smoothing,2563.288207567237
2026-01-11,HHS Care Load,Exponential Smoothing,2567.2526179457723
2026-01-12,HHS Care Load,Exponential Smoothing,2571.217028324307
2026-01-13,HHS Care Load,Exponential Smoothing,2575.1814387028426
2026-01-14,HHS Care Load,Exponential Smoothing,2579.145849081378
2026-01-15,HHS Care Load,Exponential Smoothing,2583.110259459913
2026-01-16,HHS Care Load,Exponential Smoothing,2587.0746698384482
2026-01-17,HHS Care Load,Exponential Smoothing,2591.0390802169836
2026-01-18,HHS Care Load,Exponential Smoothing,2595.0034905955185
2026-01-19,HHS Care Load,Exponential Smoothing,2598.967900974054
2026-01-20,HHS Care Load,Exponential Smoothing,2602.9323113525893
2025-12-22,HHS Care Load,SARIMA,2485.076782417173
2025-12-23,HHS Care Load,SARIMA,2486.9447629453907
2025-12-24,HHS Care Load,SARIMA,2488.4156718656623
2025-12-25,HHS Care Load,SARIMA,2487.7805349149357
2025-12-26,HHS Care Load,SARIMA,2491.7673191263802
2025-12-27,HHS Care Load,SARIMA,2495.775635914196
2025-12-28,HHS Care Load,SARIMA,2499.7922869665217
2025-12-29,HHS Care Load,SARIMA,2500.9241948540594
2025-12-30,HHS Care Load,SARIMA,2502.842694569081
2025-12-31,HHS Care Load,SARIMA,2504.3599012935874
2026-01-01,HHS Care Load,SARIMA,2503.7671935031985
2026-01-02,HHS Care Load,SARIMA,2507.792861494914
2026-01-03,HHS Care Load,SARIMA,2511.836812934845
2026-01-04,HHS Care Load,SARIMA,2515.886121008236
2026-01-05,HHS Care Load,SARIMA,2517.0479570965986
2026-01-06,HHS Care Load,SARIMA,2518.993884212387
2026-01-07,HHS Care Load,SARIMA,2520.5362265044223
2026-01-08,HHS Care Load,SARIMA,2519.9665539538773
2026-01-09,HHS Care Load,SARIMA,2524.0133323611058
2026-01-10,HHS Care Load,SARIMA,2528.0766302305146
2026-01-11,HHS Care Load,SARIMA,2532.143668145996
2026-01-12,HHS Care Load,SARIMA,2533.3217525710834
2026-01-13,HHS Care Load,SARIMA,2535.2825703127987
2026-01-14,HHS Care Load,SARIMA,2536.8385589702593
2026-01-15,HHS Care Load,SARIMA,2536.2813924950283
2026-01-16,HHS Care Load,SARIMA,2540.339631970086
2026-01-17,HHS Care Load,SARIMA,2544.413433220651
2026-01-18,HHS Care Load,SARIMA,2548.4900968549005
2026-01-19,HHS Care Load,SARIMA,2549.6770026738254
2026-01-20,HHS Care Load,SARIMA,2551.645904693828
2025-12-22,HHS Care Load,Prophet,3155.4662418309126
2025-12-23,HHS Care Load,Prophet,3207.117525262783
2025-12-24,HHS Care Load,Prophet,3221.5753318719917
2025-12-25,HHS Care Load,Prophet,3179.555882546035
2025-12-26,HHS Care Load,Prophet,3096.829470874014
2025-12-27,HHS Care Load,Prophet,3003.187704964712
2025-12-28,HHS Care Load,Prophet,2898.8418819682133
2025-12-29,HHS Care Load,Prophet,2859.0862290150217
2025-12-30,HHS Care Load,Prophet,2837.2271779442317
2025-12-31,HHS Care Load,Prophet,2779.660745228357
2026-01-01,HHS Care Load,Prophet,2668.1811966438145
2026-01-02,HHS Care Load,Prophet,2519.603662325475
2026-01-03,HHS Care Load,Prophet,2364.7099231702114
2026-01-04,HHS Care Load,Prophet,2204.626441729914
2026-01-05,HHS Care Load,Prophet,2115.4688452566975
2026-01-06,HHS Care Load,Prophet,2051.2544640758383
2026-01-07,HHS Care Load,Prophet,1958.9653835887925
2026-01-08,HHS Care Load,Prophet,1820.8455179092111
2026-01-09,HHS Care Load,Prophet,1654.0146327870962
2026-01-10,HHS Care Load,Prophet,1489.4087280414292
2026-01-11,HHS Care Load,Prophet,1328.1559647205552
2026-01-12,HHS Care Load,Prophet,1246.2223770666055
2026-01-13,HHS Care Load,Prophet,1197.3289247922714
2026-01-14,HHS Care Load,Prophet,1128.0222178021597
2026-01-15,HHS Care Load,Prophet,1019.982220278412
2026-01-16,HHS Care Load,Prophet,889.6495912266663
2026-01-17,HHS Care Load,Prophet,767.1817388599238
2026-01-18,HHS Care Load,Prophet,652.8463875978845
2026-01-19,HHS Care Load,Prophet,621.6864677419422
2026-01-20,HHS Care Load,Prophet,626.4574207357512
2025-12-22,HHS Care Load,XGBoost,2476.002685546875
2025-12-23,HHS Care Load,XGBoost,2485.658935546875
2025-12-24,HHS Care Load,XGBoost,2485.071044921875
2025-12-25,HHS Care Load,XGBoost,2483.868896484375
2025-12-26,HHS Care Load,XGBoost,2482.734375
2025-12-27,HHS Care Load,XGBoost,2482.080810546875
2025-12-28,HHS Care Load,XGBoost,2484.705078125
2025-12-29,HHS Care Load,XGBoost,2476.002685546875
2025-12-30,HHS Care Load,XGBoost,2485.658935546875
2025-12-31,HHS Care Load,XGBoost,2485.071044921875
2026-01-01,HHS Care Load,XGBoost,2477.484619140625
2026-01-02,HHS Care Load,XGBoost,2476.944580078125
2026-01-03,HHS Care Load,XGBoost,2476.291015625
2026-01-04,HHS Care Load,XGBoost,2474.805908203125
2026-01-05,HHS Care Load,XGBoost,2461.71826171875
2026-01-06,HHS Care Load,XGBoost,2446.47314453125
2026-01-07,HHS Care Load,XGBoost,2440.798828125
2026-01-08,HHS Care Load,XGBoost,2441.2099609375
2026-01-09,HHS Care Load,XGBoost,2441.56396484375
2026-01-10,HHS Care Load,XGBoost,2440.910400390625
2026-01-11,HHS Care Load,XGBoost,2439.42529296875
2026-01-12,HHS Care Load,XGBoost,2434.34375
2026-01-13,HHS Care Load,XGBoost,2443.649658203125
2026-01-14,HHS Care Load,XGBoost,2440.798828125
2026-01-15,HHS Care Load,XGBoost,2441.2099609375
2026-01-16,HHS Care Load,XGBoost,2441.56396484375
2026-01-17,HHS Care Load,XGBoost,2440.910400390625
2026-01-18,HHS Care Load,XGBoost,2439.42529296875
2026-01-19,HHS Care Load,XGBoost,2434.34375
2026-01-20,HHS Care Load,XGBoost,2443.649658203125
2025-12-22,Net Daily Intake,Moving Average,-1.9285714285714286
2025-12-23,Net Daily Intake,Moving Average,-1.9285714285714286
2025-12-24,Net Daily Intake,Moving Average,-1.9285714285714286
2025-12-25,Net Daily Intake,Moving Average,-1.9285714285714286
2025-12-26,Net Daily Intake,Moving Average,-1.9285714285714286
2025-12-27,Net Daily Intake,Moving Average,-1.9285714285714286
2025-12-28,Net Daily Intake,Moving Average,-1.9285714285714286
2025-12-29,Net Daily Intake,Moving Average,-1.9285714285714286
2025-12-30,Net Daily Intake,Moving Average,-1.9285714285714286
2025-12-31,Net Daily Intake,Moving Average,-1.9285714285714286
2026-01-01,Net Daily Intake,Moving Average,-1.9285714285714286
2026-01-02,Net Daily Intake,Moving Average,-1.9285714285714286
2026-01-03,Net Daily Intake,Moving Average,-1.9285714285714286
2026-01-04,Net Daily Intake,Moving Average,-1.9285714285714286
2026-01-05,Net Daily Intake,Moving Average,-1.9285714285714286
2026-01-06,Net Daily Intake,Moving Average,-1.9285714285714286
2026-01-07,Net Daily Intake,Moving Average,-1.9285714285714286
2026-01-08,Net Daily Intake,Moving Average,-1.9285714285714286
2026-01-09,Net Daily Intake,Moving Average,-1.9285714285714286
2026-01-10,Net Daily Intake,Moving Average,-1.9285714285714286
