target,model,mae,rmse,mape,status,reason
Total System Load,Moving Average,214.8547619047618,238.2922261432638,9.005066631937773,ok,
Total System Load,Random Forest,161.44111117845156,190.7594583538561,6.721319863548519,ok,
Total System Load,Exponential Smoothing,224.48040250058062,253.58229068613946,9.39598314940477,ok,
Total System Load,SARIMA,125.77043760759378,163.98074561759648,5.1970634228675,ok,
Total System Load,Prophet,405.228790733659,495.4408174556998,17.044655477532014,ok,
Total System Load,XGBoost,178.93851182725695,209.950143135774,7.456858092269951,ok,
HHS Care Load,Moving Average,221.10238095238088,243.80921646986863,9.409488859692011,ok,
HHS Care Load,Random Forest,157.3645257073372,186.87449704531548,6.644030249549929,ok,
HHS Care Load,Exponential Smoothing,192.6535459593288,218.4404316339455,8.17849345803837,ok,
HHS Care Load,SARIMA,99.22968141463585,129.24184577479733,4.162256707917733,ok,
HHS Care Load,Prophet,374.4381861092644,459.39899155823497,16.009978528897307,ok,
HHS Care Load,XGBoost,199.0372314453125,223.67763305214487,8.45213373940009,ok,
Net Daily Intake,Moving Average,5.867989417989418,6.9761448794941625,222.44236756717206,ok,
Net Daily Intake,Random Forest,5.52744633849895,6.580906496925643,202.2763142585145,ok,
Net Daily Intake,Exponential Smoothing,23.143087810088684,26.43834738045599,1034.0445943609382,ok,
Net Daily Intake,SARIMA,8.609659279038349,10.114016610940164,364.54659975687076,ok,
Net Daily Intake,Prophet,102.22660243342423,108.1352981643056,4459.1636392978035,ok,
Net Daily Intake,XGBoost,6.036416719136414,7.9685232186621,234.67250839277747,ok,
Discharge Volume,Moving Average,3.3026455026455026,4.083948385659355,46.40282798367932,ok,
Discharge Volume,Random Forest,3.3372094436874122,3.9297517206700814,45.905068750570614,ok,
Discharge Volume,Exponential Smoothing,20.752112597010903,23.58376607948322,253.8740464302069,ok,
Discharge Volume,SARIMA,5.6736461911068,6.881618226937187,57.87371873955014,ok,
Discharge Volume,Prophet,27.200753253310168,32.56014309743838,287.19330597459845,ok,
Discharge Volume,XGBoost,4.497401686067934,5.545522039633376,72.67819565938505,ok,
